product_name,price,image_url,video_url
128A-164 SPRAY SHARK ( BULK DISCOUNT),₹950,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoThrtMIRe-sS6R1xh4.jpg,
606-32 DANCING ROBOT,₹930,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoThrtLGQWQijsGlV2e.jpg,
GY0233 DARE DEVIL,₹400,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoR3nU0vF0T_Ip9CZNQ.jpg,
GY-20149 BOSS CAR,₹800,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoQm2GtJ5jJox06wKYk.jpg,
GY 9798 GADI,₹340,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoQ-K2p4PwyZqeu9ZvJ.jpg,
TBRC 04 GO KART CAR,₹1100,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPj5IjYBZhI9KTvQSF.jpg,
MULTI FUNCTIONAL ROBOT 606-37,₹850,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoOkBo7zjHg9a5pjPtV.jpg,
955-265 AI JELLY ROBOT DOG,₹2000,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoEs9e8mH9qQY24WDbg.jpg,
WD P31 KITCHEN SET,₹3500,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OgBl3v2d-9BzCkVflPc.jpg,
668-61 PRINCESS HOUSE 61PCS,₹1380,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OgBjhgJht45aHRskQ4R.jpg,
668-25 PRINCESS HOUSE 156 PCS,₹2400,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OgBirq3nbUaDnH4fYEo.jpg,
HOLA HE 999500 REMOTE Control Airplane,₹1750,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Og1ykb5G_v_ugp03GC8.jpg,
